1-cysPrx_C	80,189,172
Glycos_transf_2	224,122,96
Glycos_transf_3	73,116,182
Glycos_transf_4	179,46,82
Glycos_transf_N	84,216,75
Glyoxal_oxid_N	85,181,122
Glyoxalase	50,162,189
Glyoxalase_2	180,59,108
Glyoxalase_3	203,88,141
Glyoxalase_4	66,183,136
Glyoxalase_5	50,199,116
Glyoxalase_6	83,111,211
Glyphos_transf	55,181,67
Glypican	69,188,101
Gmad1	82,174,195
Gmad2	59,165,208
Gmx_para_CXXCG	84,205,63
GnHR_trans	95,224,92
GnRH	74,193,133
GnsAB_toxin	57,183,199
GntP_permease	199,95,202
GntR	160,85,194
GoLoco	50,115,197
Golgin_A5	154,229,74
Gon7	204,190,71
Goodbye	76,221,173
Got1	89,62,179
Gp-FAR-1	196,95,111
Gp138_N	203,76,146
Gp23	183,105,83
Gp37	78,199,211
Gp45_2	100,227,75
Gp49	201,64,66
Gp58	210,191,94
Gp5_C	204,216,87
Gp5_OB	110,50,199
Gp_UL130	66,192,120
Gp_dh_C	160,186,82
Gp_dh_N	212,98,148
GpcrRhopsn4	89,149,211
Gpi1	203,188,86
Gpi16	57,206,170
Gpr1_Fun34_YaaH	69,178,187
GramPos_pilinBB	54,190,147
GramPos_pilinD1	191,87,159
GramPos_pilinD3	98,201,59
Gram_pos_anchor	45,94,179
Granin	206,169,82
Granulin	198,55,118
GreA_GreB	196,189,58
GreA_GreB_N	109,94,217
Grg1	202,53,170
GrlR	189,227,94
Ground-like	130,50,180
Grp1_Fun34_YaaH	191,119,90
Grp7_allergen	89,192,222
GrpB	216,82,117
GrpE	75,190,103
Gryzun	87,106,187
Gryzun-like	212,77,69
Gsf2	225,95,100
GshA	210,158,58
GspH	155,78,183
GspL_C	101,88,209
Gti1_Pac2	61,189,175
Gtr1_RagA	195,88,127
GtrA	72,221,86
Guanylate_cyc	195,180,69
Guanylate_cyc_2	94,191,181
Guanylate_kin	77,160,185
Guanylin	88,188,90
GutM	65,206,55
GvpD	199,158,85
GvpG	65,204,137
GvpH	125,83,181
GvpK	196,53,99
GvpL_GvpF	61,84,195
GvpO	67,127,179
GxDLY	198,209,102
GxGYxYP_C	218,133,89
GxGYxYP_N	224,190,82
Gypsy	81,208,172
GyrB_insert	228,87,63
GyrI-like	61,183,118
Gyro_capsid	190,98,82
H-K_ATPase_N	226,78,61
H-kinase_dim	227,89,63
H2O2_YaaD	80,208,142
H2TH	57,227,194
HA	219,106,194
HA1	88,207,219
HA2	142,68,179
HA70_C	121,72,192
HABP4_PAI-RBP1	79,217,132
HAD	181,59,119
HAD_2	60,223,188
HAD_SAK_1	110,206,83
HAD_SAK_2	183,59,185
HAGH_C	214,161,93
HALZ	174,64,208
HAMP	124,89,195
HAMP_N3	81,227,191
HAND	83,181,212
HAP	119,203,81
HAP1_N	188,58,151
HAP2-GCS1	198,134,87
HARE-HTH	226,127,76
HARP	54,179,212
HAS-barrel	62,93,179
HAT	228,169,89
HATPase_c	80,94,225
HATPase_c_2	86,179,88
HATPase_c_3	220,68,225
HATPase_c_4	214,189,94
HATPase_c_5	137,71,210
HAT_KAT11	207,133,54
HAUS-augmin3	73,199,158
HAUS2	142,61,183
HAUS4	225,185,100
HAUS5	218,200,73
HAUS6_N	208,109,84
HAV_VP	140,196,73
HBB	89,228,104
HBD	186,47,140
HBM	210,72,124
HBS1_N	82,165,209
HC2	70,189,181
HCBP_related	110,212,75
HCMV_UL124	109,68,188
HCMV_UL139	182,166,63
HCMVantigenic_N	165,195,59
HCNGP	193,91,218
HCO3_cotransp	116,92,215
HCR	118,51,200
HCV_NS1	67,192,59
HCV_NS2	104,52,201
HCV_NS4a	198,211,63
HCV_NS4b	83,92,179
HCV_NS5a	118,103,209
HCV_NS5a_1a	193,50,95
HCV_NS5a_1b	64,129,193
HCV_NS5a_C	170,91,192
HCV_capsid	49,188,54
HCV_core	182,118,80
HCV_env	120,57,179
HD	92,193,119
HD-ZIP_N	93,229,184
HDA2-3	120,73,223
HDAC4_Gln	99,89,200
HDC	185,60,160
HDNR	97,89,192
HDOD	78,212,193
HDPD	85,179,224
HDV_ag	58,199,140
HD_2	89,206,86
HD_3	83,142,201
HD_4	209,113,64
HD_5	110,52,179
HD_6	196,168,74
HD_assoc	227,103,130
HEAT	69,196,148
HEAT_2	161,180,58
HEAT_EZ	89,168,200
HEAT_PBS	172,62,214
HEAT_UF	180,58,149
HECA	217,82,65
HECT	194,151,87
HECT_2	143,217,88
HECW1_helix	70,93,191
HECW_N	104,70,199
HELP	196,76,122
HEM4	191,152,50
HEPN	164,47,182
HEPN-like_int	98,229,137
HEPN_AbiA_CTD	181,54,109
HEPN_AbiU2	147,98,205
HEPN_AbiV	175,208,91
HEPN_Apea	106,228,78
HEPN_Cthe2314	134,83,192
HEPN_DZIP3	70,186,98
HEPN_LA2681	176,180,62
HEPN_MAE_28990	212,54,69
HEPN_RES_NTD1	160,180,81
HEPN_RiboL-PSP	164,71,202
HEPN_RnaseLS	90,121,193
HEPN_SAV2148	69,88,211
HEPN_SAV_6107	54,191,107
HEPN_STY4199	104,63,213
HEPN_Swt1	183,63,81
HEPN_Toprim_N	181,100,213
HEPPP_synt_1	68,187,216
HERV-K_REC	213,92,93
HERV-K_env_2	211,61,142
HET	222,108,192
HET-S	98,204,179
HET-s_218-289	211,69,160
HEV_ORF1	190,225,57
HEXIM	68,204,167
HGAL	222,94,134
HGD-D	112,89,222
HGTP_anticodon	115,202,95
HGTP_anticodon2	202,70,73
HGWP	112,95,223
HHA	79,120,202
HHH	91,109,218
HHH_2	223,81,103
HHH_3	58,214,96
HHH_4	99,171,199
HHH_5	118,220,87
HHH_6	166,180,62
HHH_7	134,90,194
HHH_8	83,210,138
HHH_9	92,169,203
HHV-1_VABD	52,150,179
HHV-5_US34A	180,63,164
HHV6-IE	82,154,204
HH_signal	142,76,187
HI0933_like	206,109,71
HIF-1	95,227,159
HIF-1a_CTAD	185,85,58
HIGH_NTase1	95,117,195
HIGH_NTase1_ass	196,141,59
HIG_1_N	203,68,129
HILPDA	183,67,178
HIM1	100,214,170
HIN	197,119,87
HIP1_clath_bdg	206,118,95
HIPIP	218,194,103
HIRAN	94,195,167
HIRA_B	97,209,219
HIT	77,81,180
HJURP_C	205,187,59
HJURP_mid	92,146,211
HK	180,55,129
HK97-gp10_like	73,190,61
HKR_ArcB_TM	184,183,80
HK_sensor	99,221,213
HLH	222,56,154
HMA	91,198,182
HMD	214,171,105
HMG-CoA_red	67,203,137
HMG14_17	138,179,82
HMGL-like	84,228,141
HMG_CoA_synt_C	49,194,86
HMG_CoA_synt_N	88,216,218
HMG_box	199,79,96
HMG_box_2	58,183,151
HMG_box_5	66,202,200
HMMR_C	85,83,210
HMMR_N	200,199,65
HMW1C_N	66,209,174
HMw1_D2	162,79,181
HN	81,52,186
HNF-1A_C	116,182,87
HNF-1B_C	110,160,224
HNF-1_N	190,56,136
HNF_C	55,200,200
HNH	118,184,79
HNH_2	150,101,220
HNH_3	185,59,127
HNH_4	67,196,147
HNH_5	81,194,210
HNH_repeat	186,200,71
HNHc_6	213,106,173
HNOB	98,228,160
HNOBA	199,81,191
HOASN	152,57,198
HOCHOB	77,216,191
HOIP-UBA	118,212,95
HOK_GEF	106,213,68
HOOK	228,102,138
HORMA	214,69,115
HP0268	68,100,222
HP1451_C	90,213,115
HPD	104,76,203
HPHLAWLY	204,68,75
HPIH	109,62,205
HPIP	104,170,219
HPIP_like	211,127,59
HPP	81,159,198
HPPK	203,129,62
HPS3_C	77,150,225
HPS3_Mid	63,117,209
HPS3_N	187,174,63
HPS6	179,66,136
HPTransfase	151,63,198
HP_OMP	55,217,95
HP_OMP_2	99,202,161
HR1	193,174,51
HRCT1	177,96,195
HRDC	91,116,211
HRG	139,195,67
HRI1	53,181,138
HRM	155,222,98
HRXXH	176,222,80
HR_lesion	97,214,76
HS1_rep	213,199,78
HSA	195,142,96
HSBP1	217,75,174
HSCB_C	157,67,221
HSD3	90,86,216
HSDR_N	67,217,209
HSDR_N_2	213,58,153
HSF_DNA-bind	222,108,143
HSL_N	86,222,169
HSM3_C	182,214,103
HSM3_N	215,86,155
HSNSD	90,209,120
HSP20	148,223,75
HSP33	94,199,160
HSP70	60,173,201
HSP90	214,64,55
HSP9_HSP12	95,118,210
HSR	74,188,193
HSV_VP16_C	206,59,210
HTHP	226,103,145
HTH_1	125,227,79
HTH_10	110,115,226
HTH_11	188,106,60
HTH_12	73,115,182
HTH_13	209,229,85
HTH_15	64,218,78
HTH_16	135,198,77
HTH_17	179,100,76
HTH_18	216,58,224
HTH_19	72,216,183
HTH_20	157,225,93
HTH_21	114,195,68
HTH_22	61,217,91
HTH_23	77,216,116
HTH_24	222,79,68
HTH_25	158,183,69
HTH_26	210,216,86
HTH_27	130,111,228
HTH_28	61,197,72
HTH_29	163,71,225
HTH_3	105,79,202
HTH_30	180,199,81
HTH_31	207,145,90
HTH_32	89,225,112
HTH_33	178,60,202
HTH_34	67,118,220
HTH_35	96,165,219
HTH_36	223,86,170
HTH_37	199,50,137
HTH_38	76,213,183
HTH_39	210,59,156
HTH_40	68,216,81
HTH_41	64,96,204
HTH_42	116,78,194
HTH_43	148,178,71
HTH_44	228,185,79
HTH_45	124,223,63
HTH_46	62,159,191
HTH_47	190,54,161
HTH_48	191,159,83
HTH_49	188,78,81
HTH_5	95,208,123
HTH_50	158,192,86
HTH_51	195,163,57
HTH_52	190,64,142
HTH_53	189,152,89
HTH_54	62,115,187
HTH_55	213,123,98
HTH_56	214,158,98
HTH_57	51,190,111
HTH_6	214,118,93
HTH_7	223,208,93
HTH_8	168,63,200
HTH_9	166,220,100
HTH_ABP1_N	100,208,131
HTH_AraC	104,226,131
HTH_AsnC-type	190,195,86
HTH_Bact	219,55,119
HTH_CodY	82,218,168
HTH_Crp_2	87,137,202
HTH_DeoR	194,214,67
HTH_IclR	135,102,222
HTH_Mga	166,58,182
HTH_OrfB_IS605	102,226,140
HTH_ParB	171,77,201
HTH_Tnp_1	85,212,107
HTH_Tnp_1_2	91,58,187
HTH_Tnp_4	71,220,91
HTH_Tnp_IS1	223,170,108
HTH_Tnp_IS630	92,221,175
HTH_Tnp_ISL3	203,97,164
HTH_Tnp_Mu_1	70,185,123
HTH_Tnp_Mu_2	148,60,219
HTH_Tnp_Tc3_1	81,82,202
HTH_Tnp_Tc3_2	66,189,196
HTH_Tnp_Tc5	229,161,86
HTH_WhiA	106,226,87
HTH_micro	69,117,219
HTH_psq	161,73,201
HTS	70,221,181
HU-CCDC81_bac_1	220,84,202
HU-CCDC81_bac_2	68,214,132
HU-CCDC81_euk_1	212,145,67
HU-CCDC81_euk_2	112,179,225
HU-DNA_bdg	80,187,138
HU-HIG	228,76,122
HUN	184,51,120
HVSL	181,63,114
HV_small_capsid	223,140,77
HWE_HK	73,191,195
HXXEE	95,187,87
HXXSHH	223,99,133
HYLS1_C	98,113,204
HYR	128,102,216
HZS_alpha	189,196,76
H_PPase	191,92,155
H_kinase_N	95,120,217
H_lectin	68,180,144
Haem_bd	112,89,209
Haem_degrading	77,133,190
Haem_oxygenas_2	71,185,105
Haemadin	136,209,92
Haemagg_act	212,126,63
Haemocyan_bet_s	128,228,98
Hairpins	189,50,50
Hairy_orange	188,89,102
HalOD1	223,68,94
HalOD2	196,215,89
HalX	140,87,218
Halo_GVPC	176,58,221
Halogen_Hydrol	73,213,164
Ham1p_like	76,199,61
Hamartin	63,201,97
Hanta_G1	96,194,152
Hanta_G2	79,165,223
Hanta_nucleocap	164,200,82
Hap4_Hap_bind	97,227,114
HapK	212,82,116
Harakiri	86,184,55
HasA	96,133,220
Haspin_kinase	61,180,72
Hat1_N	100,225,97
HbrB	213,131,84
Hc1	61,186,142
Hce2	213,77,121
HcyBio	214,124,99
HdeA	99,202,158
HeH	80,196,85
HeLo	159,80,220
He_PIG	219,101,229
He_PIG_assoc	184,89,171
Head-tail_con	189,116,85
Head_binding	105,185,52
Headcase	203,91,126
Helicase_C	104,224,158
Helicase_C_2	70,108,178
Helicase_C_3	221,110,182
Helicase_C_4	99,217,81
Helicase_IV_N	163,77,182
Helicase_PWI	206,127,65
Helicase_RecD	183,202,58
Helicase_Sgs1	192,76,199
Heliorhodopsin	81,97,222
Helitron_like_N	111,77,215
Helo_like_N	127,217,96
Helveticin_J	90,192,202
HemN_C	53,124,192
HemS	164,209,79
HemX	101,105,217
HemY_N	108,88,180
Hema_HEFG	99,229,143
Hema_esterase	128,228,112
Hema_stalk	205,175,66
Hemagglutinin	103,188,47
HemeBinding_Shp	171,62,214
Heme_oxygenase	227,219,74
Hemerythrin	120,91,227
Hemocyanin_C	222,184,109
Hemocyanin_M	70,193,187
Hemocyanin_N	211,70,78
HemolysinCabind	73,143,181
Hemolysin_N	189,160,87
Hemopexin	206,146,93
Hen1_L	81,91,202
Hen1_Lam_C	73,205,180
HepII_C	174,91,195
Hep_59	88,212,168
Hep_core_N	223,218,80
Hepar_II_III	92,170,189
Hepar_II_III_N	73,128,205
Hepatitis_core	96,137,212
Hepcidin	84,215,145
Hepsin-SRCR	166,208,82
Herp-Cyclin	192,201,63
Herpes_BBRF1	114,207,69
Herpes_BLLF1	224,160,100
Herpes_BLRF2	143,96,198
Herpes_BMRF2	65,108,200
Herpes_BTRF1	74,176,202
Herpes_DNAp_acc	75,181,95
Herpes_HEPA	55,178,195
Herpes_Helicase	199,134,55
Herpes_ICP4_C	79,105,180
Herpes_ICP4_N	120,80,199
Herpes_IE1	214,71,207
Herpes_IE2_3	187,141,87
Herpes_IE68	206,99,120
Herpes_IR6	189,85,169
Herpes_LAMP2	215,212,86
Herpes_LMP1	73,124,221
Herpes_LMP2	134,216,61
Herpes_LP	216,103,131
Herpes_MCP	92,122,188
Herpes_ORF11	148,221,84
Herpes_PAP	224,181,67
Herpes_TAF50	193,135,56
Herpes_TK	105,168,223
Herpes_TK_C	179,117,65
Herpes_U15	185,136,85
Herpes_U26	117,197,81
Herpes_U30	111,224,92
Herpes_U34	79,105,192
Herpes_U44	225,152,97
Herpes_U47	229,93,186
Herpes_U5	112,118,226
Herpes_U55	123,56,206
Herpes_U59	123,80,220
Herpes_UL1	88,191,104
Herpes_UL14	65,221,150
Herpes_UL16	205,93,132
Herpes_UL17	61,137,224
Herpes_UL20	96,178,62
Herpes_UL21	81,97,203
Herpes_UL24	71,65,181
Herpes_UL25	89,190,111
Herpes_UL3	172,95,208
Herpes_UL31	199,68,78
Herpes_UL32	187,179,81
Herpes_UL33	59,136,187
Herpes_UL35	199,69,68
Herpes_UL36	132,77,185
Herpes_UL37_1	65,136,189
Herpes_UL37_2	102,210,137
Herpes_UL4	227,169,101
Herpes_UL42	64,102,204
Herpes_UL43	94,184,74
Herpes_UL46	221,91,190
Herpes_UL47	229,70,58
Herpes_UL49_1	82,180,100
Herpes_UL49_2	99,170,214
Herpes_UL49_5	195,70,94
Herpes_UL51	50,197,53
Herpes_UL52	51,56,199
Herpes_UL55	97,212,167
Herpes_UL56	219,57,108
Herpes_UL6	49,122,195
Herpes_UL69	111,191,61
Herpes_UL7	77,88,218
Herpes_UL73	70,82,194
Herpes_UL74	196,68,113
Herpes_UL79	183,84,143
Herpes_UL82_83	151,189,75
Herpes_UL87	132,80,179
Herpes_UL92	193,205,60
Herpes_UL95	182,92,58
Herpes_US12	188,57,195
Herpes_US9	191,153,88
Herpes_V23	103,188,228
Herpes_VP19C	207,71,62
Herpes_capsid	92,208,104
Herpes_env	48,191,192
Herpes_gE	205,65,141
Herpes_gI	87,226,208
Herpes_glycoH_C	189,92,192
Herpes_glycop	187,52,98
Herpes_glycop_D	81,227,66
Herpes_glycop_H	207,113,68
Herpes_gp2	173,184,77
Herpes_heli_pri	84,57,186
Herpes_ori_bp	223,171,109
Herpes_pp38	89,167,183
Herpes_pp85	225,209,96
Herpes_teg_N	151,80,196
Herpeto_peptide	96,224,73
Het-C	99,101,202
HetR_C	168,72,192
Hex_IIIa	75,70,193
Hexapep	89,131,202
Hexapep_2	79,205,115
Hexapep_loop	138,95,221
Hexokinase_1	88,183,66
Hexokinase_2	97,207,84
Hexose_dehydrat	74,201,66
HflK_N	209,103,103
Hfq	54,191,106
Hfx_Cass5	101,178,74
HgmA	180,135,87
HhH-GPD	190,78,115
HiaBD2	103,182,54
HicA_toxin	182,96,204
HicB	92,214,177
HicB-like_2	202,148,51
HicB_lk_antitox	180,53,73
Hid1	82,101,203
HigB-like_toxin	70,119,179
HigB_toxin	220,96,220
Hint	86,191,166
Hint_2	163,196,53
HipA_C	198,131,67
HipN	221,105,87
Hira	77,111,194
Hirudin	131,219,57
HisG	212,55,174
HisG_C	195,51,173
HisKA	193,125,62
HisKA_2	217,63,141
HisKA_3	190,53,146
HisKA_4TM	86,228,190
HisKA_7TM	141,187,85
HisK_N	114,64,219
HisK_sensor	65,55,183
His_Me_b4a2	131,54,217
His_Phos_1	135,184,63
His_Phos_2	97,137,208
His_binding	76,70,212
His_biosynth	200,144,79
His_kinase	87,219,195
His_leader	55,132,195
Hist_deacetyl	184,51,130
Hist_rich_Ca-bd	206,57,54
Histidinol_dh	100,225,180
Histone	74,166,213
Histone_H2A_C	166,219,99
Histone_HNS	192,206,65
Hit1_C	227,68,229
Hjc	78,98,183
HlyC	53,200,189
HlyD	100,228,198
HlyD_2	63,225,211
HlyD_3	82,200,102
HlyD_D23	70,190,92
HlyD_D4	222,159,99
HlyE	226,149,65
HlyIII	189,64,75
HlyU	195,152,53
HmuY	192,65,149
HnRNPA1	77,107,189
HnRNP_M	105,202,71
HobA	174,80,224
HofP	157,199,70
Hol_Tox	80,56,198
Holin_2-3	227,144,77
Holin_9	55,202,95
Holin_BhlA	228,195,106
Holin_BlyA	94,195,72
Holin_SPP1	55,221,216
Hom_end	67,203,78
Hom_end_hint	94,213,60
Homeobox_KN	86,117,201
Homeodomain	202,81,200
Homez	68,130,221
Homoserine_dh	219,100,144
HopA1	91,95,187
HopJ	127,88,179
HopW1-1	193,59,49
Hormone_1	128,219,109
Hormone_2	188,156,66
Hormone_3	183,221,78
Hormone_4	192,137,75
Hormone_5	186,95,202
Hormone_6	72,50,178
Hormone_recep	197,99,221
Host_attach	85,107,220
Hox9_act	64,201,212
HoxA13_N	178,56,171
HpaB	73,153,185
HpaB_N	122,202,60
HpaP	100,103,212
HpcH_HpaI	81,183,94
Hph	98,81,214
Hpr_kinase_C	113,57,192
Hpr_kinase_N	88,180,182
Hpre_diP_synt_I	53,141,193
Hpt	73,180,147
HpuA	100,219,174
HrcA	189,80,209
HrcA_DNA-bdg	103,214,116
HrpA_pilin	198,155,98
HrpB1_HrpK	181,87,75
HrpB2	219,115,105
HrpB4	74,55,197
HrpB7	125,204,96
HrpB_C	214,71,97
HrpE	162,210,93
HrpF	55,212,111
HrpJ	90,182,142
Hrs_helical	216,119,93
Hs1pro-1_C	117,217,66
Hs1pro-1_N	161,202,72
HsbA	198,86,98
HscB_4_cys	182,101,81
HsdM_N	97,133,218
HtaA	52,186,164
Htr2	72,218,58
HtrL_YibB	218,195,88
Hum_adeno_E3A	206,188,99
Humanin	187,56,202
HupE_UreJ	190,188,89
HupE_UreJ_2	153,111,227
HupF_HypC	147,55,217
HupH_C	63,102,213
Hus1	94,214,211
HutD	54,205,98
HutP	71,204,209
Hva1_TUDOR	224,83,216
HxlR	91,150,227
HyaE	85,143,209
Hyaluronidase_1	109,190,53
HycA_repressor	83,60,195
HycH	76,221,93
HycI	67,142,190
Hyccin	216,205,55
HydF_dimer	57,214,156
HydF_tetramer	206,177,92
Hyd_WA	88,153,201
Hydant_A_N	116,89,225
Hydantoinase_A	126,186,91
Hydantoinase_B	221,153,86
Hydin_ADK	78,192,172
Hydrolase	68,220,102
Hydrolase_2	206,197,89
Hydrolase_3	195,74,128
Hydrolase_4	140,98,205
Hydrolase_6	78,107,184
Hydrolase_like	202,89,70
Hydrophob_seed	152,228,64
Hydrophobin	190,59,89
Hydrophobin_2	78,86,180
HypA	96,209,214
HypD	68,196,130
HypF_C	186,80,48
Hyphal_reg_CWP	99,200,180
Hypoth_Ymh	96,227,190
Hyr1	128,205,72
I-EGF_1	79,71,183
I-set	79,220,101
IATP	46,174,187
IAT_beta	77,180,115
IBB	96,217,200
IBD	156,194,96
IBN_N	168,65,179
IBP39	221,77,78
IBR	82,178,106
IBV_3A	191,217,61
IBV_3B	216,163,96
IBV_3C	200,157,73
ICA69	93,79,190
ICAM_N	86,123,195
ICAP-1_inte_bdg	201,72,151
ICAT	94,114,202
ICE2	57,126,181
ICEA	175,51,192
ICL	209,76,110
ICMT	100,223,104
ID	62,189,94
IDEAL	71,216,59
IDH	188,70,62
IDO	188,79,75
IER	158,213,99
IES5	150,90,223
IF-2	59,156,215
IF-2B	195,91,90
IF2_N	112,83,194
IF2_assoc	93,201,177
IF3_C	122,214,90
IF3_N	226,105,214
IF4E	90,67,208
IFN-gamma	89,133,205
IFNGR1	202,207,91
IFP_35_N	99,181,213
IFR3_antag	64,201,161
IFRD	86,184,90
IFRD_C	182,152,77
IFS	75,65,181
IFT20	119,89,220
IFT43	175,101,210
IFT46_B_C	210,179,94
IFT57	223,166,59
IFT81_CH	178,70,51
IGF2_C	169,220,64
IGFBP	52,153,182
IGFL	184,82,90
IGPD	202,51,127
IGPS	183,89,153
IGR	182,88,55
IHABP4_N	224,88,87
IHHNV_capsid	72,212,188
IHO1	196,190,91
IIGP	191,148,85
IKBKB_SDD	76,124,226
IKI3	183,85,185
IKKbetaNEMObind	195,50,117
IL1	83,220,100
IL10	166,186,88
IL11	225,112,198
IL12	182,68,89
IL12p40_C	62,207,159
IL13	67,153,228
IL15	185,224,61
IL17	88,204,76
IL17R_D_N	91,192,76
IL17R_fnIII_D1	90,228,97
IL17R_fnIII_D2	99,69,180
IL17_R_N	102,209,122
IL1_propep	85,114,217
IL2	197,50,165
IL22	84,179,69
IL23	59,145,223
IL28A	63,176,179
IL2RB_N1	76,217,68
IL3	185,180,75
IL31	66,217,202
IL32	185,200,99
IL33	72,69,183
IL34	61,221,80
IL3Ra_N	186,77,151
IL4	213,130,85
IL4Ra_N	220,169,64
IL4_i_Ig	129,59,188
IL5	66,80,209
IL6	123,100,212
IL6Ra-bind	88,71,180
IL7	119,224,77
IL8	213,83,71
ILEI	98,135,208
ILVD_EDD	58,79,190
IMCp	94,76,192
IMD	208,208,87
IML1	64,81,224
IMP2_C	65,147,210
IMP2_N	195,97,206
IMPDH	225,99,218
IMP_cyclohyd	62,133,181
IMPa_N_2	59,194,90
IMPa_helical	226,135,99
IMS	187,207,75
IMS_C	68,195,187
IMS_HHH	81,199,189
IMUP	107,189,79
INCA1	124,201,87
INCENP_ARK-bind	215,160,85
INCENP_N	81,217,181
ING	82,177,201
INO80_Ies4	166,95,198
INPP5B_PH	207,74,149
INSC_LBD	159,75,193
INSIG	88,66,215
INTAP	84,185,128
INTS2	191,81,60
INTS5_C	179,117,46
INTS5_N	96,198,159
INT_SG_DDX_CT_C	209,73,81
IN_DBD_C	75,190,131
IPI_T4	227,194,110
IPK	87,210,106
IPP-2	212,105,202
IPPT	211,87,157
IPT	177,83,216
IPTL-CTERM	221,108,138
IPU_b_solenoid	194,60,81
IP_trans	75,218,77
IQ	177,100,216
IQCJ-SCHIP1	189,73,51
IQ_SEC7_PH	87,193,137
IR1-M	200,222,107
IRF	218,91,70
IRF-2BP1_2	140,100,228
IRF-3	204,78,200
IRK	212,75,114
IRK_C	130,61,180
IRK_N	200,65,170
IRS	185,60,117
ISAV_HA	116,184,52
ISET-FN3_linker	197,80,162
ISG65-75	187,226,106
ISK_Channel	229,70,167
ISN1	200,157,56
ISP1_C	103,222,217
ISP3_C	99,52,194
ISPD_C	55,179,100
ITAM	195,91,153
ITAM_Cys-rich	52,206,191
ITI_HC_C	189,93,121
IU_nuc_hydro	156,80,217
IZUMO	170,209,103
I_LWEQ	135,211,102
IalB	60,175,228
Ibs_toxin	192,126,80
IceA2	115,57,191
Ice_nucleation	139,206,90
IclR	58,93,180
IcmF-related	91,203,105
IcmF_C	211,84,154
Ifi-6-16	85,212,152
IgGFc_binding	107,217,106
IgG_binding_B	151,195,54
Ig_2	219,62,130
Ig_3	187,56,56
Ig_4	91,185,61
Ig_5	75,127,217
Ig_6	90,190,144
Ig_C17orf99	228,156,109
Ig_C19orf38	211,61,121
Ig_GlcNase	110,223,155
Ig_J_chain	130,209,66
Ig_Tie2_1	68,189,178
Ig_mannosidase	211,57,153
IgaA	73,141,178
IglC	204,179,70
Il13Ra_Ig	117,228,83
Il2rg	209,102,61
Ilar_coat	198,159,80
Ilm1	105,152,225
IlvB_leader	215,227,105
IlvC	54,198,169
IlvGEDA_leader	196,200,95
IlvN	108,60,227
Ima1_N	134,70,195
ImcF-related_N	93,191,96
Img2	81,229,167
Imm-NTF2	153,207,58
Imm-NTF2-2	70,154,188
Imm1	80,227,198
Imm10	74,109,191
Imm12	218,165,94
Imm15	193,93,191
Imm17	219,80,145
Imm19	199,207,89
Imm2	191,95,174
Imm21	137,46,185
Imm25	127,103,227
Imm26	62,49,179
Imm27	118,78,183
Imm3	204,137,63
Imm30	182,68,61
Imm31	150,72,198
Imm32	86,225,153
Imm35	180,63,181
Imm39	144,183,89
Imm40	190,226,111
Imm41	195,77,224
Imm42	195,81,178
Imm43	86,163,204
Imm44	64,186,122
Imm45	197,70,96
Imm47	187,191,78
Imm48	210,82,62
Imm49	115,220,66
Imm5	94,91,215
Imm50	105,155,214
Imm51	57,212,158
Imm52	180,210,88
Imm53	156,57,191
Imm57	55,80,206
Imm58	113,56,204
Imm59	85,214,117
Imm6	207,194,72
Imm61	109,93,206
Imm63	216,151,70
Imm64	82,174,188
Imm65	206,131,89
Imm68	194,75,114
Imm7	82,184,128
Imm70	202,144,58
Imm71	49,185,67
Imm72	66,186,89
Imm74	222,148,101
Imm75	211,228,97
Imm8	98,69,203
Imm9	170,78,195
ImmE5	93,106,212
Imm_superinfect	89,47,189
Imp-YgjV	212,106,61
ImpA_N	215,78,108
ImpE	192,160,78
Importin_rep	228,174,66
Importin_rep_2	205,82,157
Importin_rep_3	217,89,158
Importin_rep_4	83,197,181
Importin_rep_5	67,202,70
Importin_rep_6	57,220,129
InPase	59,120,210
InaF-motif	153,77,204
IncD	187,80,69
IncE	219,108,132
IncF	69,100,221
IncFII_repA	77,204,80
Indigoidine_A	186,184,81
Inh	183,90,140
Inhibitor_G39P	186,61,144
Inhibitor_I10	179,147,51
Inhibitor_I24	204,91,170
Inhibitor_I29	194,81,176
Inhibitor_I34	82,218,94
Inhibitor_I36	105,224,207
Inhibitor_I42	131,225,100
Inhibitor_I48	145,199,50
Inhibitor_I53	107,151,224
Inhibitor_I66	143,214,106
Inhibitor_I67	189,120,94
Inhibitor_I68	136,64,202
Inhibitor_I69	172,75,227
Inhibitor_I71	72,199,169
Inhibitor_I78	196,224,92
Inhibitor_I9	171,79,191
Inhibitor_Mig-6	138,187,65
Init_tRNA_PT	184,64,198
Inj_translocase	202,111,58
Innate_immun	182,89,120
Innexin	210,59,156
Ino80_Iec3	117,91,211
Inos-1-P_synth	206,100,116
Inositol_P	67,210,137
Inovirus_Gp2	201,166,80
Inp1	208,61,56
Ins134_P3_kin	188,58,55
Ins134_P3_kin_N	195,64,218
Ins145_P3_rec	188,171,89
Ins_P5_2-kin	97,56,222
Ins_allergen_rp	208,107,216
Ins_beta	85,186,69
Insulin	102,89,180
Insulin_TMD	92,210,76
Integrase_1	167,217,66
Integrase_DNA	181,163,57
Integrase_H2C2	100,100,203
Integrase_Zn	184,80,61
Integrin_B_tail	217,77,82
Integrin_alpha	201,50,163
Integrin_alpha2	149,56,180
Integrin_b_cyt	181,52,185
Integrin_beta	204,63,131
Intein_splicing	214,78,129
Interfer-bind	179,118,68
Interferon	202,74,179
