1-cysPrx_C	159,78,55	#9f4e37
DUF7450	143,66,45	#8f422d
DUF7451	164,109,94	#a46d5e
DUF7452	138,86,71	#8a5647
DUF7453	196,129,111	#c4816f
DUF7454	78,151,78	#4e974e
DUF7455	148,74,54	#944a36
DUF7456	140,71,52	#8c4734
DUF7457	144,90,75	#905a4b
DUF7458	147,69,47	#93452f
DUF7459	225,139,115	#e18b73
DUF746	199,97,69	#c76145
DUF7460	205,94,63	#cd5e3f
DUF7461	198,118,96	#c67660
DUF7462	208,127,105	#d07f69
DUF7463	202,129,109	#ca816d
DUF7464	67,224,67	#43e043
DUF7465	162,75,50	#a24b32
DUF7466	144,87,71	#905747
DUF7467	147,67,45	#93432d
DUF7468	140,86,72	#8c5648
DUF7469	145,74,54	#914a36
DUF747	162,102,86	#a26656
DUF7470	137,86,72	#895648
DUF7471	223,101,68	#df6544
DUF7472	205,136,116	#cd8874
DUF7473	222,138,115	#de8a73
DUF7474	141,63,41	#8d3f29
DUF7475	140,85,69	#8c5545
DUF7476	196,88,58	#c4583a
DUF7477	161,103,86	#a16756
DUF7478	150,93,77	#965d4d
DUF7479	173,153,75	#ad994b
DUF748	219,142,120	#db8e78
DUF7480	160,74,50	#a04a32
DUF7481	159,96,78	#9f604e
DUF7482	204,101,72	#cc6548
DUF7483	144,89,74	#90594a
DUF7484	155,102,87	#9b6657
DUF7485	165,84,61	#a5543d
DUF7486	150,93,78	#965d4e
DUF7487	151,72,51	#974833
DUF7488	164,85,63	#a4553f
DUF7489	90,170,205	#5aaacd
DUF749	210,106,78	#d26a4e
DUF7490	121,84,157	#79549d
DUF7491	141,89,75	#8d594b
DUF7492	137,97,175	#8961af
DUF7493	69,64,130	#454082
DUF7494	208,133,112	#d08570
DUF7495	66,195,133	#42c385
DUF7496	96,67,124	#60437c
DUF7497	124,72,176	#7c48b0
DUF7498	122,67,175	#7a43af
DUF7499	149,76,56	#954c38
DUF7500	223,148,127	#df947f
DUF7501	237,135,92	#ed875c
DUF7502	143,85,69	#8f5545
DUF7503	202,98,70	#ca6246
DUF7504	74,151,173	#4a97ad
DUF7505	157,79,57	#9d4f39
DUF7506	198,100,73	#c66449
DUF7507	77,39,115	#4d2773
DUF7508	47,117,194	#2f75c2
DUF7509	106,132,61	#6a843d
DUF751	147,74,54	#934a36
DUF7510	149,91,75	#955b4b
DUF7511	150,74,53	#964a35
DUF7512	206,101,71	#ce6547
DUF7513	165,52,199	#a534c7
DUF7514	145,65,43	#91412b
DUF7515	158,163,80	#9ea350
DUF7516	150,157,49	#969d31
DUF7517	143,147,76	#8f934c
DUF7518	144,95,81	#905f51
DUF7519	153,91,74	#995b4a
DUF7520	142,92,79	#8e5c4f
DUF7521	205,100,71	#cd6447
DUF7522	157,76,53	#9d4c35
DUF7523	226,117,87	#e27557
DUF7524	206,128,106	#ce806a
DUF7525	151,98,83	#976253
DUF7526	137,70,51	#894633
DUF7527	142,86,71	#8e5647
DUF7528	221,146,126	#dd927e
DUF7529	209,101,71	#d16547
DUF753	137,121,84	#897954
DUF7530	199,98,70	#c76246
DUF7531	152,98,83	#986253
DUF7532	164,103,87	#a46757
DUF7533	208,98,68	#d06244
DUF7534	162,101,84	#a26554
DUF7535	207,107,79	#cf6b4f
DUF7536	151,92,76	#975c4c
DUF7537	137,90,77	#895a4d
DUF7538	149,92,76	#955c4c
DUF7539	215,133,110	#d7856e
DUF7540	137,86,72	#895648
DUF7541	137,90,77	#895a4d
DUF7542	208,136,115	#d08873
DUF7543	219,130,105	#db8269
DUF7544	127,191,32	#7fbf20
DUF7545	150,76,56	#964c38
DUF7546	152,99,85	#986355
DUF7547	224,104,71	#e06847
DUF7548	208,100,70	#d06446
DUF7549	136,86,72	#885648
DUF755	224,137,113	#e08971
DUF7550	147,72,51	#934833
DUF7551	196,93,65	#c45d41
DUF7552	199,122,101	#c77a65
DUF7553	226,115,84	#e27354
DUF7554	219,143,122	#db8f7a
DUF7555	148,70,49	#944631
DUF7556	218,141,119	#da8d77
DUF7557	79,140,234	#4f8cea
DUF7558	145,75,56	#914b38
DUF7559	117,104,54	#756836
DUF756	178,124,88	#b27c58
DUF7560	113,98,38	#716226
DUF7561	81,74,159	#514a9f
DUF7562	59,53,139	#3b358b
DUF7563	166,147,74	#a6934a
DUF7564	65,53,217	#4135d9
DUF7565	147,67,32	#934320
DUF7566	149,97,82	#956152
DUF7567	176,158,90	#b09e5a
DUF7568	176,157,86	#b09d56
DUF7569	47,38,160	#2f26a0
DUF7570	155,71,48	#9b4730
DUF7571	215,128,104	#d78068
DUF7572	221,106,74	#dd6a4a
DUF7573	204,124,102	#cc7c66
DUF7574	215,96,63	#d7603f
DUF7575	160,141,70	#a08d46
DUF7576	80,74,157	#504a9d
DUF7577	120,108,60	#786c3c
DUF7578	158,96,79	#9e604f
DUF7579	94,70,118	#5e4676
DUF758	211,134,113	#d38671
DUF7580	70,142,68	#468e44
DUF7581	209,126,103	#d17e67
DUF7582	222,135,221	#de87dd
DUF7583	84,45,123	#542d7b
DUF7584	137,103,171	#8967ab
DUF7585	121,69,173	#7945ad
DUF7586	200,94,65	#c85e41
DUF7587	103,109,57	#676d39
DUF7588	164,80,57	#a45039
DUF7589	202,98,69	#ca6245
DUF759	141,71,51	#8d4733
DUF7590	79,128,164	#4f80a4
DUF7591	160,99,152	#a06398
DUF7592	221,97,205	#dd61cd
DUF7593	196,94,65	#c45e41
DUF7594	142,157,74	#8e9d4a
DUF7595	134,44,74	#862c4a
DUF7596	50,205,66	#32cd42
DUF7597	202,127,106	#ca7f6a
DUF7598	137,71,53	#894735
DUF7599	217,108,78	#d96c4e
DUF760	155,70,47	#9b462f
DUF7600	203,92,61	#cb5c3d
DUF7601	121,66,167	#7942a7
DUF7602	209,216,112	#d1d870
DUF7603	204,128,107	#cc806b
DUF7604	70,156,87	#469c57
DUF7605	140,67,46	#8c432e
DUF7606	198,129,109	#c6816d
DUF7607	223,135,110	#df876e
DUF7608	204,101,72	#cc6548
DUF7609	210,106,78	#d26a4e
DUF761	221,102,68	#dd6644
DUF7610	144,69,49	#904531
DUF7611	166,111,95	#a66f5f
DUF7612	142,94,81	#8e5e51
DUF7613	138,67,47	#8a432f
DUF7614	222,137,114	#de8972
DUF7615	224,113,82	#e07152
DUF7616	203,97,68	#cb6144
DUF7617	111,61,159	#6f3d9f
DUF7618	141,72,53	#8d4835
DUF7619	87,51,123	#57337b
DUF762	224,104,71	#e06847
DUF7620	145,66,44	#91422c
DUF7621	159,102,86	#9f6656
DUF7622	145,73,54	#914936
DUF7623	215,103,72	#d76748
DUF7624	219,132,109	#db846d
DUF7625	137,142,49	#898e31
DUF7626	196,202,102	#c4ca66
DUF7627	154,225,120	#9ae178
DUF7628	122,72,171	#7a48ab
DUF7629	89,50,127	#59327f
DUF763	155,74,51	#9b4a33
DUF7630	106,137,86	#6a8956
DUF7631	100,131,79	#64834f
DUF7632	207,125,103	#cf7d67
DUF7633	141,105,176	#8d69b0
DUF7634	131,93,169	#835da9
DUF7635	195,74,114	#c34a72
DUF7636	216,141,120	#d88d78
DUF7637	159,75,52	#9f4b34
DUF7638	147,97,83	#936153
DUF7639	160,74,50	#a04a32
DUF764	147,70,49	#934631
DUF7640	106,153,235	#6a99eb
DUF7641	152,74,53	#984a35
DUF7642	37,29,137	#251d89
DUF7643	216,134,112	#d88670
DUF7644	224,143,121	#e08f79
DUF7645	144,72,52	#904834
DUF7646	203,210,103	#cbd267
DUF7647	196,94,66	#c45e42
DUF7648	221,142,120	#dd8e78
DUF7649	208,107,79	#d06b4f
DUF765	205,101,72	#cd6548
DUF7650	138,83,68	#8a5344
DUF7651	148,95,81	#945f51
DUF7652	84,58,111	#543a6f
DUF7653	159,78,56	#9f4e38
DUF7654	161,73,49	#a14931
DUF7655	211,130,108	#d3826c
DUF7656	123,49,35	#7b3123
DUF7657	155,76,54	#9b4c36
DUF7658	208,95,64	#d05f40
DUF7659	160,99,82	#a06352
DUF7660	143,74,55	#8f4a37
DUF7661	199,91,62	#c75b3e
DUF7662	201,95,66	#c95f42
DUF7663	160,98,81	#a06251
DUF7664	155,72,50	#9b4832
DUF7665	215,128,104	#d78068
DUF7666	152,92,76	#985c4c
DUF7667	161,102,86	#a16656
DUF7668	199,89,59	#c7593b
DUF7669	205,214,66	#cdd642
DUF7670	197,99,72	#c56348
DUF7671	137,65,46	#89412e
DUF7672	140,63,42	#8c3f2a
DUF7673	209,128,106	#d1806a
DUF7674	198,126,106	#c67e6a
DUF7675	207,124,101	#cf7c65
DUF7676	114,131,82	#728352
DUF7677	148,88,71	#945847
DUF7678	223,112,81	#df7051
DUF7679	213,105,76	#d5694c
DUF768	215,136,114	#d78872
DUF7680	170,63,98	#aa3f62
DUF7681	162,106,90	#a26a5a
DUF7682	222,147,126	#de937e
DUF7683	181,85,152	#b55598
DUF7684	219,113,83	#db7153
DUF7685	40,30,150	#281e96
DUF7686	165,81,57	#a55139
DUF7687	73,138,75	#498a4b
DUF7688	164,101,83	#a46553
DUF7689	73,145,68	#499144
DUF769	204,125,103	#cc7d67
DUF7690	163,79,56	#a34f38
DUF7691	32,136,91	#20885b
DUF7692	85,114,160	#5572a0
DUF7693	164,77,53	#a44d35
DUF7694	160,94,162	#a05ea2
DUF7695	158,142,85	#9e8e55
DUF7696	164,107,92	#a46b5c
DUF7697	218,140,119	#da8c77
DUF7698	225,134,108	#e1866c
DUF7699	202,104,77	#ca684d
DUF7700	199,101,74	#c7654a
DUF7701	209,101,71	#d16547
DUF7702	219,71,226	#db47e2
DUF7703	148,77,57	#944d39
DUF7704	103,68,145	#674491
DUF7705	152,199,78	#98c74e
DUF7706	158,79,58	#9e4f3a
DUF7707	212,134,112	#d48670
DUF7708	153,81,152	#995198
DUF7709	165,108,92	#a56c5c
DUF771	206,92,61	#ce5c3d
DUF7710	222,102,69	#de6645
DUF7711	199,128,108	#c7806c
DUF7712	136,64,44	#88402c
DUF7713	137,63,43	#893f2b
DUF7714	224,149,129	#e09581
DUF7715	222,135,111	#de876f
DUF7716	217,131,107	#d9836b
DUF7717	218,129,105	#da8169
DUF7718	196,99,72	#c46348
DUF7719	197,90,60	#c55a3c
DUF772	149,74,54	#954a36
DUF7720	162,97,79	#a2614f
DUF7721	210,102,73	#d26649
DUF7722	123,128,59	#7b803b
DUF7723	146,74,54	#924a36
DUF7724	206,106,78	#ce6a4e
DUF7725	140,144,70	#8c9046
DUF7726	151,157,71	#979d47
DUF7727	165,70,67	#a54643
DUF7728	163,77,53	#a34d35
DUF7729	159,94,77	#9f5e4d
DUF773	189,65,62	#bd413e
DUF775	180,186,66	#b4ba42
DUF776	208,108,80	#d06c50
DUF777	201,97,68	#c96144
DUF778	177,224,110	#b1e06e
DUF779	147,96,81	#936051
DUF780	207,102,73	#cf6649
DUF782	168,210,67	#a8d243
DUF787	226,107,75	#e26b4b
DUF789	160,81,59	#a0513b
DUF790	216,103,72	#d86748
DUF792	138,66,46	#8a422e
DUF799	78,105,228	#4e69e4
DUF802	206,137,118	#ce8976
DUF805	151,71,49	#974731
DUF806	137,70,52	#894634
DUF807	166,80,56	#a65038
DUF808	160,100,84	#a06454
DUF809	163,78,55	#a34e37
DUF810	88,227,153	#58e399
DUF812	82,106,196	#526ac4
DUF815	26,121,148	#1a7994
DUF816	151,71,49	#974731
DUF817	32,139,117	#208b75
DUF818	94,221,187	#5eddbb
DUF819	88,150,126	#58967e
DUF823	66,218,60	#42da3c
DUF824	61,190,180	#3dbeb4
DUF825	154,98,82	#9a6252
DUF826	143,86,70	#8f5646
DUF829	73,169,144	#49a990
DUF832	202,92,62	#ca5c3e
DUF834	146,73,54	#924936
DUF835	105,199,225	#69c7e1
DUF836	185,64,167	#b940a7
DUF839	62,203,65	#3ecb41
DUF840	148,198,53	#94c635
DUF842	200,122,101	#c87a65
DUF844	198,195,60	#c6c33c
DUF846	224,139,115	#e08b73
DUF848	205,127,106	#cd7f6a
DUF851	216,100,68	#d86444
DUF853	194,58,168	#c23aa8
DUF859	136,97,224	#8861e0
DUF86	116,219,99	#74db63
DUF863	209,109,81	#d16d51
DUF865	213,98,66	#d56242
DUF866	81,53,192	#5135c0
DUF868	146,75,55	#924b37
DUF87	38,123,146	#267b92
DUF870	223,145,124	#df917c
DUF871	149,83,217	#9553d9
DUF872	105,202,79	#69ca4f
DUF874	199,90,61	#c75a3d
DUF881	220,145,125	#dc917d
DUF883	221,90,129	#dd5a81
DUF883_C	153,31,86	#991f56
DUF884	212,133,111	#d4856f
DUF885	88,136,131	#588883
DUF89	214,160,106	#d6a06a
DUF892	123,152,78	#7b984e
DUF896	204,99,69	#cc6345
DUF898	77,96,185	#4d60b9
DUF899	126,49,35	#7e3123
DUF900	138,228,204	#8ae4cc
DUF902	182,92,69	#b65c45
DUF903	114,230,114	#72e672
DUF905	141,93,80	#8d5d50
DUF908	163,108,93	#a36c5d
DUF910	76,167,221	#4ca7dd
DUF913	204,97,68	#cc6144
DUF915	106,217,187	#6ad9bb
DUF916	137,95,202	#895fca
DUF917	143,66,45	#8f422d
DUF917_C	221,140,118	#dd8c76
DUF918	215,107,77	#d76b4d
DUF919	197,102,76	#c5664c
DUF92	205,101,72	#cd6548
DUF922	204,126,104	#cc7e68
DUF924	82,142,52	#528e34
DUF927	95,192,219	#5fc0db
DUF928	225,139,116	#e18b74
DUF929	190,64,40	#be4028
DUF930	149,89,72	#955948
DUF932	214,102,71	#d66647
DUF934	209,131,109	#d1836d
DUF935	102,71,181	#6647b5
DUF936	117,40,140	#75288c
DUF937	210,219,70	#d2db46
DUF938	161,95,107	#a15f6b
DUF943	212,134,112	#d48670
DUF945	210,140,120	#d28c78
DUF948	202,130,110	#ca826e
DUF951	77,153,77	#4d994d
DUF952	111,121,34	#6f7922
DUF953	51,48,181	#3330b5
DUF956	91,85,183	#5b55b7
DUF957	143,210,63	#8fd23f
DUF959	224,139,115	#e08b73
DUF960	86,161,141	#56a18d
DUF961	168,59,200	#a83bc8
DUF962	50,193,123	#32c17b
DUF963	137,83,68	#895344
DUF966	162,72,188	#a248bc
DUF968	201,43,144	#c92b90
DUF969	62,38,161	#3e26a1
DUF971	75,59,195	#4b3bc3
DUF973	206,129,108	#ce816c
DUF974	138,219,103	#8adb67
DUF975	222,140,118	#de8c76
DUF977	146,151,69	#929745
DUF979	93,78,157	#5d4e9d
DUF98	200,80,201	#c850c9
DUF981	158,80,59	#9e503b
DUF982	225,147,125	#e1937d
DUF983	215,142,122	#d78e7a
DUF986	63,59,114	#3f3b72
DUF987	161,75,52	#a14b34
DUF99	51,214,118	#33d676
DUF992	212,97,65	#d46141
DUF993	170,125,72	#aa7d48
DUF995	206,133,113	#ce8571
DUF996	153,91,73	#995b49
DUF997	208,96,65	#d06041
DUF998	175,59,138	#af3b8a
DUF999	222,148,128	#de9480
DUP	160,166,78	#a0a64e
DUSP	225,109,77	#e16d4d
DVL	204,98,69	#cc6245
DVNP	217,109,79	#d96d4f
DWNN	146,90,172	#925aac
DWORF	213,96,64	#d56040
DX	157,98,81	#9d6251
DXPR_C	180,79,97	#b44f61
DXP_redisom_C	148,36,112	#942470
DXP_reductoisom	131,80,89	#835059
DXP_synthase_N	46,179,173	#2eb3ad
DYN1_lid	127,156,68	#7f9c44
DYNC2H1_AAA_dom	36,182,222	#24b6de
DYN_lid	117,162,29	#75a21d
DYW_deaminase	82,119,39	#527727
DZF	206,133,52	#ce8534
DZF_C	200,91,61	#c85b3d
DZF_N	226,110,224	#e26ee0
DZR	167,148,75	#a7944b
DZR_2	123,109,56	#7b6d38
D_CNTX	154,184,69	#9ab845
DabA	137,68,50	#894432
Dabb	107,88,159	#6b589f
DacZ_A	165,80,57	#a55039
DacZ_P	209,96,65	#d16041
DacZ_T	141,86,71	#8d5647
Dak1	165,145,43	#a5912b
Dak1_2	74,79,209	#4a4fd1
Dak2	223,147,125	#df937d
Dala_Dala_lig_C	198,107,178	#c66bb2
Dala_Dala_lig_N	158,101,112	#9e6570
Dam	224,116,87	#e07457
DapB_C	147,44,114	#932c72
DapB_N	168,75,92	#a84b5c
DapH_N	155,95,78	#9b5f4e
Dapper	148,70,49	#944631
DarA_C	224,139,115	#e08b73
DarA_N	158,74,51	#9e4a33
DarT	106,116,31	#6a741f
Darcynin	110,79,195	#6e4fc3
Dark_CARD	80,111,172	#506fac
Dark_WHD	207,216,61	#cfd83d
Daxx	199,132,114	#c78472
Daz	200,97,68	#c86144
Dbl7	147,68,46	#93442e
DbpA	91,77,176	#5b4db0
Dbr1_C	217,101,69	#d96545
DcaP	32,109,132	#206d84
Dcc1	144,70,49	#904631
DciA	142,85,101	#8e5565
DcpS	224,134,109	#e0866d
DcpS_C	27,170,105	#1baa69
Dcr1-like_dsRNA-bd_dom	125,133,77	#7d854d
DcrB	185,85,139	#b9558b
DctA-YdbH	66,220,110	#42dc6e
DctM	86,72,145	#564891
DctP	74,130,63	#4a823f
DctQ	207,106,78	#cf6a4e
DcuA_DcuB	136,114,224	#8872e0
DcuC	108,85,201	#6c55c9
DdMyo7_FERM	181,94,73	#b55e49
DddA-like	118,174,52	#76ae34
Ddi2_HDD	203,100,71	#cb6447
DdrB	204,129,108	#cc816c
DeaD_C	204,91,60	#cc5b3c
Deam_C	101,135,61	#65873d
Death	35,65,124	#23417c
Death_2	44,73,131	#2c4983
Death_3	27,55,110	#1b376e
Death_MADD	95,123,180	#5f7bb4
Death_TNFRSF11B	64,83,120	#405378
Dec-1	148,67,44	#94432c
Decorin_bind	140,66,46	#8c422e
Defb50	163,75,50	#a34b32
Defensin	245,133,46	#f5852e
Defensin_1	53,126,35	#357e23
Defensin_2	241,131,46	#f1832e
Defensin_3	65,158,42	#419e2a
Defensin_4	51,110,37	#336e25
Defensin_5	160,110,71	#a06e47
Defensin_RK-1	66,116,54	#427436
Defensin_beta	106,166,91	#6aa65b
Defensin_beta_2	108,170,94	#6caa5e
Defensin_big	59,122,44	#3b7a2c
Defensin_int	55,114,40	#377228
Defensin_like	244,168,109	#f4a86d
Defensin_propep	163,104,88	#a36858
DegQ	203,133,113	#cb8571
DegS	206,126,104	#ce7e68
DegT_DnrJ_EryC1	59,139,191	#3b8bbf
DegV	147,130,44	#93822c
DehI	200,127,106	#c87f6a
Dehalogenase	149,222,127	#95de7f
Dehyd-heme_bind	124,173,231	#7cade7
Dehydratase_LU	214,155,87	#d69b57
Dehydratase_MU	140,68,49	#8c4431
Dehydratase_SU	209,125,101	#d17d65
Dehydratase_hem	154,130,220	#9a82dc
Dehydrin	218,108,77	#da6c4d
Delta_lysin	136,66,47	#88422f
Deltameth_res	151,96,81	#976051
Deltaretro_Tax	223,102,68	#df6644
Dendrin	207,128,106	#cf806a
Denso_VP4	158,126,66	#9e7e42
DeoC	226,169,102	#e2a966
DeoRC	114,49,61	#72313d
Dermcidin	164,98,79	#a4624f
DesK_N	212,137,117	#d48975
Desmo_N	216,130,106	#d8826a
Destabilase	107,216,243	#6bd8f3
Desulfoferrod_N	204,100,71	#cc6447
Desulfoferrodox	84,45,123	#542d7b
Det1	136,69,51	#884533
DevR	138,199,244	#8ac7f4
Dev_Cell_Death	148,71,49	#944731
Dexa_ind	208,133,113	#d08571
Dfp1_Him1_M	148,67,45	#94432d
Di19_C	146,87,70	#925746
DiSB-ORF2_chro	156,92,75	#9c5c4b
DiS_P_DiS	147,227,76	#93e34c
Diacid_rec	183,193,42	#b7c12a
DicB	139,65,45	#8b412d
Dicer_N	163,171,111	#a3ab6f
Dicer_PBD	217,143,122	#d98f7a
Dicer_dimer	159,167,108	#9fa76c
Dicer_dsRBD	163,172,104	#a3ac68
Dicer_platform	138,68,48	#8a4430
Dicers_N	222,148,127	#de947f
Dicistro_VP4	128,149,32	#809520
Dickkopf_N	86,127,29	#567f1d
Dict-STAT-coil	219,134,110	#db866e
Dicty_CAD	221,101,68	#dd6544
Dicty_CAR	178,238,129	#b2ee81
Dicty_CTDC	159,106,91	#9f6a5b
Dicty_REP	154,101,87	#9a6557
Dicty_spore_N	202,130,111	#ca826f
Diedel	138,63,43	#8a3f2b
Diguanyl_cycl_sensor	194,244,78	#c2f44e
Dimer_Tnp_Tn5	81,165,116	#51a574
Dimer_Tnp_hAT	162,73,48	#a24930
Dimerisation	211,221,69	#d3dd45
Dimerisation2	84,199,85	#54c755
Dimerisation2-like_dom	161,166,82	#a1a652
Dimeth_Pyl	218,141,119	#da8d77
DinB	130,76,168	#824ca8
DinB_2	89,33,129	#592181
DinI	209,93,61	#d15d3d
Diox-like_N	242,114,140	#f2728c
Dioxygenase_C	130,93,160	#825da0
Dioxygenase_N	160,79,57	#a04f39
Dip	208,104,75	#d0684b
Diphthami_syn_2	131,90,167	#835aa7
Diphthamide_syn	205,94,64	#cd5e40
Diphtheria_C	104,114,30	#68721e
Diphtheria_R	142,72,52	#8e4834
Diphtheria_T	164,85,63	#a4553f
Dirigent	50,169,47	#32a92f
Dis32-like_C	164,78,190	#a44ebe
Dis3l2_C_term	116,54,134	#743686
DisA	204,123,101	#cc7b65
DisA-linker	219,109,79	#db6d4f
DisA_N	202,89,54	#ca5936
Disaggr_assoc	97,109,183	#616db7
Disaggr_repeat	133,154,37	#859a25
Dishevelled	148,71,50	#944732
Disintegrin	146,96,82	#926052
Disulph_isomer	163,99,82	#a36352
Dit-like_CBM2	168,204,113	#a8cc71
Dit_C	211,107,79	#d36b4f
Dit_N	109,214,172	#6dd6ac
Dit_like	55,180,130	#37b482
DivIC	77,109,170	#4d6daa
DivIVA	215,137,115	#d78973
DksA-like_N	145,90,74	#915a4a
DksA_N	155,72,49	#9b4831
DltD	214,235,92	#d6eb5c
DltX	205,129,109	#cd816d
Dmd	144,73,54	#904936
DmmA-like_C	221,132,107	#dd846b
DmmA-like_N	113,88,172	#7158ac
DmpG_comm	87,215,135	#57d787
Dmrt1	137,62,41	#893e29
DmsC	77,192,167	#4dc0a7
DmsR_N	160,78,56	#a04e38
Dna2	86,202,89	#56ca59
Dna2_Rift	146,178,99	#92b263
DnaA_N	157,71,83	#9d4753
DnaA_N-like_STI	166,74,87	#a64a57
DnaB	166,83,61	#a6533d
DnaB_2	142,86,70	#8e5646
DnaB_C	29,120,145	#1d7891
DnaB_bind	154,79,59	#9a4f3b
DnaD_N	218,225,110	#dae16e
DnaG_DnaB_bind	197,121,100	#c57964
DnaG_cat_HB	140,85,70	#8c5546
DnaG_helical	204,106,79	#cc6a4f
DnaGprimase_HBD	139,69,50	#8b4532
DnaI_N	161,78,55	#a14e37
DnaJ	227,53,124	#e3357c
DnaJ-X	151,74,53	#974a35
DnaJ-like_C11_C	162,100,83	#a26453
DnaJ_C	209,134,113	#d18671
DnaJ_CXXCXGXG	155,80,60	#9b503c
DnaT	159,106,91	#9f6a5b
DnaT_2	212,101,71	#d46547
DnaX_C	212,99,68	#d46344
DncV-like_NTFase	178,73,176	#b249b0
DncV_C	149,72,51	#954833
DndB	142,88,73	#8e5849
DndE	121,158,216	#799ed8
Dockerin_1	89,184,218	#59b8da
Docking	180,75,55	#b44b37
Dodecin	48,102,124	#30667c
Dopey_N	94,164,60	#5ea43c
Doppel	156,76,54	#9c4c36
Dor1	121,204,82	#79cc52
DosC_2nd	209,98,67	#d16243
DotA	203,125,103	#cb7d67
DotD	181,87,186	#b557ba
DotM_C	157,77,55	#9d4d37
DotU	144,72,53	#904835
DotY	144,67,45	#90432d
DotZ	200,126,106	#c87e6a
Dot_icm_IcmQ	164,175,82	#a4af52
DoxA	202,124,102	#ca7c66
DoxD	128,74,172	#804aac
DoxX	172,94,235	#ac5eeb
DoxX_2	110,40,167	#6e28a7
DoxX_3	160,63,238	#a03fee
DpaA_N	158,70,86	#9e4656
DpnD-PcfM	149,99,85	#956355
DpnD_N	141,72,53	#8d4835
DpnI	79,146,80	#4f9250
DpnII	53,152,55	#359837
DpnII-MboI	110,210,112	#6ed270
DpnI_C	211,217,115	#d3d973
Dpoe2NT	180,220,101	#b4dc65
Dpp_8_9_N	142,55,84	#8e3754
Dppa2_A	161,104,88	#a16858
DprA_N	157,76,212	#9d4cd4
DprA_WH	219,226,117	#dbe275
Dpy-30	113,89,162	#7159a2
Dpy19	50,108,207	#326ccf
Dr_adhesin	140,83,68	#8c5344
DraIII	201,34,141	#c9228d
DraK_HK_N	78,78,162	#4e4ea2
Draxin	209,94,62	#d15e3e
Drc1-Sld2	217,130,106	#d9826a
Dredd_2nd	33,59,110	#213b6e
Dredd_N	32,64,127	#20407f
Drf_DAD	214,99,67	#d66343
Drf_FH1	158,99,83	#9e6353
Drf_FH3	125,212,82	#7dd452
Drf_GBD	139,229,95	#8be55f
DrrA_P4M	140,68,48	#8c4430
DrsE	60,184,153	#3cb899
DrsE_2	140,48,62	#8c303e
DruA	136,84,70	#885446
DsbA_N	142,73,54	#8e4936
DsbB	202,99,70	#ca6346
DsbC	68,196,119	#44c477
DsbC_N	217,109,79	#d96d4f
DsbD	152,82,96	#985260
DsbD_2	203,112,131	#cb7083
DsbD_N	85,50,119	#553277
DsbG_N	199,122,101	#c77a65
Dsc3_C	200,119,96	#c87760
Dsc3_N	117,50,148	#753294
Dscam_C	213,104,74	#d5684a
Dsh_C	206,132,112	#ce8470
Dsl1_C	95,156,65	#5f9c41
Dsl1_N	102,144,82	#669052
DsrC	204,213,56	#ccd538
DsrD	218,224,115	#dae073
DsrE	133,78,86	#854e56
DsrH	156,63,77	#9c3f4d
DtxR	60,228,60	#3ce43c
DuOB	110,31,133	#6e1f85
Duc1	140,69,50	#8c4532
Duc1_FFAT_like	145,72,51	#914833
DuffyBP_N	216,130,106	#d8826a
Duffy_binding	45,158,144	#2d9e90
Dumpy_DPY	149,70,48	#954630
DuoxA	145,67,45	#91432d
DurB-like	220,134,110	#dc866e
DurN	201,102,75	#c9664b
Dus	208,171,128	#d0ab80
DyP_N	151,128,215	#9780d7
Dymeclin	124,132,59	#7c843b
Dynactin	144,70,49	#904631
Dynactin_p22	202,120,98	#ca7862
Dynactin_p62	152,72,49	#984831
Dynamin-like_hel_bact	209,137,117	#d18975
Dynamin_M	216,137,116	#d88974
Dynamin_N	49,184,222	#31b8de
Dynamitin	226,101,67	#e26543
Dynein_AAA_lid	214,109,80	#d66d50
Dynein_C	155,96,80	#9b6050
Dynein_IC2	212,96,65	#d46041
Dynein_attach_N	144,72,52	#904834
Dynein_heavy	36,141,170	#248daa
Dynein_light	213,104,74	#d5684a
Dyp_perox	189,65,79	#bd414f
Dyp_perox_C	117,85,208	#7555d0
Dyp_perox_N	143,119,212	#8f77d4
Dysbindin	162,82,60	#a2523c
Dzip-like_N	149,95,80	#955f50
E1-E2_ATPase	149,90,74	#955a4a
E1-N	212,139,119	#d48b77
E1_4HB	159,78,55	#9f4e37
E1_DerP2_DerF2	162,142,95	#a28e5f
E1_FCCH	123,166,61	#7ba63d
E1_UFD	205,101,72	#cd6548
E1_dh	81,142,164	#518ea4
E2	217,106,76	#d96a4c
E2-Crich	225,112,80	#e17050
E2-E1mid	219,132,108	#db846c
E2-ntca	169,117,219	#a975db
E217_GP41	200,102,75	#c8664b
E217_Gp32	163,105,88	#a36958
E217_gp28	83,231,171	#53e7ab
E217_gp29	80,114,164	#5072a4
E2F_CC-MB	203,94,64	#cb5e40
E2F_TDP	157,162,78	#9da24e
E2R135	196,88,58	#c4583a
E2_bind	226,107,74	#e26b4a
E3_UBR4_N	141,68,47	#8d442f
E3_UFM1_ligase	201,93,63	#c95d3f
E3_UbLigase_EDD	127,71,168	#7f47a8
E3_UbLigase_R4	151,92,75	#975c4b
E3_UbLigase_RBR	103,38,151	#672697
E3_binding	221,108,77	#dd6c4d
E6	210,108,80	#d26c50
E7	213,110,81	#d56e51
E7R	161,77,54	#a14d36
EABR	164,84,62	#a4543e
EACC1	136,67,48	#884330
